COLOR NAME	HEX NUM
Red-violet#Flirt	A2006D
Shades of white#Floral white	FFFAF0
Shades_of_blue#Fluorescent_blue	15F4EE
Shades of green#Forest Green (Crayola)	5FA777
Shades of green#UP Forest Green	14421
Shades of green#Forest green	228B22
Beige#French beige	A67B5B
Bistre#French bistre	856D4D
Shades of azure#French blue	0072BB
Fuchsia (color)#French fuchsia	FD3F92
Lilac (color)#French lilac	86608E
Lime (color)#French lime	9EFD38
Mauve#French mauve (deep mauve)	D473D4
Shades of pink#French pink	FD6C9E
Raspberry (color)#French raspberry	C72C48
Rose (color)#French rose	F64A8A
Sky blue#French sky blue	77B5FE
Shades of violet#French violet	8806CE
List of Crayola crayon colors#Extreme Twistables colors	E936A7
Fuchsia (color)	FF00FF
Fuchsia (color)#Deep fuchsia	C154C1
Fuchsia (color)#Fuchsia purple	CC397B
Rose (color)#Fuchsia rose	C74375
Fulvous	E48400
List of Crayola crayon colors#Standard colors	87421F
